lcia,value,unit,year,method,Location,Process,Scenario,model
Carcinogenics,0.0009643980009491,kg benzene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC,ReEDS
Ozone Depletion,7.545968878243244e-09,kg CFC-11-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC,ReEDS
Photochemical Oxidation,0.0001741933362334,kg NOx-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC,ReEDS
Non-Carcinogenics,1.7726202350274058,kg toluene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC,ReEDS
"Respiratory Effects, Average",9.574583115157215e-05,kg PM2.5-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC,ReEDS
Alop,0.0031349712222931,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,DAC,ReEDS
Gwp100,0.116989497205728,kg CO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC,ReEDS
Fdp,0.0561031042887996,kg oil-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC,ReEDS
Fetpinf,7.69718803632295e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,DAC,ReEDS
Fep,3.3012492166091523e-06,kg P-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC,ReEDS
Htpinf,0.0188766525398265,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,DAC,ReEDS
Irp_He,0.0410757055575416,kg U235-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC,ReEDS
Metpinf,0.0002617871169004,"kg 1,4-DB-Eq",2036,RECIPE,US,US Electricity Grid Mix,DAC,ReEDS
Mep,1.2985371161292378e-05,kg N-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC,ReEDS
Mdp,0.0093350621153129,kg Fe-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC,ReEDS
Nltp,1.5358476574388986e-05,square meter,2036,RECIPE,US,US Electricity Grid Mix,DAC,ReEDS
Odpinf,7.4293191335428925e-09,kg CFC-11-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC,ReEDS
Pmfp,0.0001338013387745,kg PM10-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC,ReEDS
Pofp,0.0003233204860288,kg NMVOC-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC,ReEDS
Tap100,0.000336197421994,kg SO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC,ReEDS
Tetpinf,3.2500636471160055e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,DAC,ReEDS
Ulop,0.0081680404759905,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,DAC,ReEDS
Wdp,0.0020763565593589,m3 water-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC,ReEDS
Acidification,0.0181332096089453,moles of H+-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Ecotoxicity,0.0886226062814158,"kg 2,4-D-Eq",2036,TRACI2.1,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Eutrophication,1.7210901771499727e-05,kg N,2036,TRACI2.1,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Global Warming,0.0760603036797722,kg CO2-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Carcinogenics,0.0010199850712409,kg benzene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Ozone Depletion,7.0317705575283405e-09,kg CFC-11-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Photochemical Oxidation,0.0001578590821411,kg NOx-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Non-Carcinogenics,1.7836993409163773,kg toluene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
"Respiratory Effects, Average",8.433731584407618e-05,kg PM2.5-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Alop,0.0029788466784396,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Gwp100,0.0776771136892188,kg CO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Fdp,0.0484549100704067,kg oil-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Fetpinf,0.0001082539609049,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Fep,3.487328708525724e-06,kg P-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Htpinf,0.0206318106262116,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Irp_He,0.0344996195049787,kg U235-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Metpinf,0.0002843300170648,"kg 1,4-DB-Eq",2036,RECIPE,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Mep,1.2633190522224564e-05,kg N-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Mdp,0.0101882942026577,kg Fe-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Nltp,1.5591500546212128e-05,square meter,2036,RECIPE,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Odpinf,6.936009072735016e-09,kg CFC-11-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Pmfp,0.0001219519644067,kg PM10-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Pofp,0.0002773584969738,kg NMVOC-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Tap100,0.0003184708243663,kg SO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Tetpinf,3.2127426669026843e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Ulop,0.0080584748060621,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Wdp,0.001804123935406,m3 water-Eq,2036,RECIPE,US,US Electricity Grid Mix,DAC_100by2035,ReEDS
Acidification,0.0200467004470877,moles of H+-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Ecotoxicity,0.0915798366915761,"kg 2,4-D-Eq",2036,TRACI2.1,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Eutrophication,1.7453329209140682e-05,kg N,2036,TRACI2.1,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Global Warming,0.1216715985134127,kg CO2-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Carcinogenics,0.0009756534075111,kg benzene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Ozone Depletion,7.776198352434885e-09,kg CFC-11-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Photochemical Oxidation,0.0001823638339695,kg NOx-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Non-Carcinogenics,1.7840132363606829,kg toluene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
"Respiratory Effects, Average",0.0001000687540677,kg PM2.5-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Alop,0.0031623879206539,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Gwp100,0.1236622199086848,kg CO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Fdp,0.0604591461991822,kg oil-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Fetpinf,8.517985845901128e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Fep,3.726236792060531e-06,kg P-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Htpinf,0.01879143623975,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Irp_He,0.0422189529241371,kg U235-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Metpinf,0.0002513471640175,"kg 1,4-DB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Mep,1.3169452839279992e-05,kg N-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Mdp,0.0093193857519667,kg Fe-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Nltp,1.5956736366113726e-05,square meter,2036,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Odpinf,7.646892148860314e-09,kg CFC-11-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Pmfp,0.0001398659778631,kg PM10-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Pofp,0.0003365641115609,kg NMVOC-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Tap100,0.0003465225295741,kg SO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Tetpinf,2.8560205145464195e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Ulop,0.00662176380958,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Wdp,0.0020745017715484,m3 water-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_Demand_Growth_95by2050,ReEDS
Acidification,0.0195053828789218,moles of H+-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Ecotoxicity,0.0873145075326253,"kg 2,4-D-Eq",2036,TRACI2.1,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Eutrophication,1.7609025523258048e-05,kg N,2036,TRACI2.1,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Global Warming,0.1143247583626406,kg CO2-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Carcinogenics,0.0009673414534135,kg benzene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Ozone Depletion,7.449452168159944e-09,kg CFC-11-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Photochemical Oxidation,0.0001750653826809,kg NOx-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Non-Carcinogenics,1.7747515838043864,kg toluene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
"Respiratory Effects, Average",9.67774825288989e-05,kg PM2.5-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Alop,0.0031517335632382,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Gwp100,0.1162080075668121,kg CO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Fdp,0.0553166505702328,kg oil-Eq,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Fetpinf,7.694314468446805e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Fep,3.388510391629053e-06,kg P-Eq,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Htpinf,0.0190183422136863,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Irp_He,0.0405457251912466,kg U235-Eq,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Metpinf,0.0002639262256091,"kg 1,4-DB-Eq",2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Mep,1.305736928782781e-05,kg N-Eq,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Mdp,0.0093811269766464,kg Fe-Eq,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Nltp,1.5348190864720407e-05,square meter,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Odpinf,7.334799325011655e-09,kg CFC-11-Eq,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Pmfp,0.0001351768664596,kg PM10-Eq,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Pofp,0.0003218576634089,kg NMVOC-Eq,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Tap100,0.0003377279038089,kg SO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Tetpinf,3.2934828492667835e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Ulop,0.0083199803034192,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Wdp,0.0020714824502737,m3 water-Eq,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050,ReEDS
Acidification,0.0149217969886015,moles of H+-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Ecotoxicity,0.0827381365358191,"kg 2,4-D-Eq",2036,TRACI2.1,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Eutrophication,1.485460531035518e-05,kg N,2036,TRACI2.1,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Global Warming,0.0525353279517674,kg CO2-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Carcinogenics,0.0011096677712871,kg benzene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Ozone Depletion,3.761294407866841e-09,kg CFC-11-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Photochemical Oxidation,0.0001219633140626,kg NOx-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Non-Carcinogenics,1.94775072039678,kg toluene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
"Respiratory Effects, Average",6.760249340982697e-05,kg PM2.5-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Alop,0.0029795039699587,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Gwp100,0.0538580507629815,kg CO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Fdp,0.0204664313326957,kg oil-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Fetpinf,3.441316153014397e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Fep,1.9628172043184253e-06,kg P-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Htpinf,0.0220743233906669,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Irp_He,0.0291291978556301,kg U235-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Metpinf,0.0003018634948738,"kg 1,4-DB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Mep,1.074871634237344e-05,kg N-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Mdp,0.0112171138712838,kg Fe-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Nltp,1.0651837225412104e-05,square meter,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Odpinf,3.733613407409603e-09,kg CFC-11-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Pmfp,9.989016805361724e-05,kg PM10-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Pofp,0.0001998014219564,kg NMVOC-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Tap100,0.000264688992849,kg SO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Tetpinf,3.68985121372536e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Ulop,0.0094951895723183,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Wdp,0.001809458837768,m3 water-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_RE_Cost_100by2035,ReEDS
Acidification,0.0160114854583135,moles of H+-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Ecotoxicity,0.0826787421706753,"kg 2,4-D-Eq",2036,TRACI2.1,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Eutrophication,1.6596328338793344e-05,kg N,2036,TRACI2.1,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Global Warming,0.0584106126159915,kg CO2-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Carcinogenics,0.0009367297970866,kg benzene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Ozone Depletion,6.4662169797817705e-09,kg CFC-11-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Photochemical Oxidation,0.000136435044288,kg NOx-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Non-Carcinogenics,1.9137049854464327,kg toluene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
"Respiratory Effects, Average",6.974358901590198e-05,kg PM2.5-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Alop,0.0031441888253667,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Gwp100,0.0600347066031586,kg CO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Fdp,0.0385873355999371,kg oil-Eq,2036,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Fetpinf,9.777837773555509e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Fep,2.144225513409313e-06,kg P-Eq,2036,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Htpinf,0.0199817374231713,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Irp_He,0.0381515629972579,kg U235-Eq,2036,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Metpinf,0.0002968783125815,"kg 1,4-DB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Mep,1.2181081129288702e-05,kg N-Eq,2036,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Mdp,0.0095044709108523,kg Fe-Eq,2036,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Nltp,1.4140139125167607e-05,square meter,2036,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Odpinf,6.4160960661488e-09,kg CFC-11-Eq,2036,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Pmfp,0.0001031296071461,kg PM10-Eq,2036,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Pofp,0.0002452731230811,kg NMVOC-Eq,2036,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Tap100,0.0002850882505898,kg SO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Tetpinf,4.044838425046287e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Ulop,0.0107088441221892,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Wdp,0.002015914208211,m3 water-Eq,2036,RECIPE,US,US Electricity Grid Mix,Reduced_RE_Resource_100by2035,ReEDS
Acidification,0.0200853891202703,moles of H+-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Ecotoxicity,0.0777708384655913,"kg 2,4-D-Eq",2036,TRACI2.1,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Eutrophication,1.6781232150421588e-05,kg N,2036,TRACI2.1,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Global Warming,0.164491997877316,kg CO2-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Carcinogenics,0.0009179305933357,kg benzene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Ozone Depletion,8.816402212939097e-09,kg CFC-11-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Photochemical Oxidation,0.0001864575622517,kg NOx-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Non-Carcinogenics,1.7058430217621123,kg toluene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
"Respiratory Effects, Average",9.599833254111992e-05,kg PM2.5-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Alop,0.0029671077517159,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Gwp100,0.1665992548056776,kg CO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Fdp,0.07269705201027,kg oil-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Fetpinf,3.597114815399701e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Fep,2.655403692702409e-06,kg P-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Htpinf,0.0165666187671255,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Irp_He,0.0450524512394499,kg U235-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Metpinf,0.0002260576423093,"kg 1,4-DB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Mep,1.2452280115916049e-05,kg N-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Mdp,0.0085551330474306,kg Fe-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Nltp,1.4323467282769289e-05,square meter,2036,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Odpinf,8.655320491984903e-09,kg CFC-11-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Pmfp,0.0001327303383134,kg PM10-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Pofp,0.0003924070880546,kg NMVOC-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Tap100,0.0003475674947024,kg SO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Tetpinf,2.930991716416104e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Ulop,0.0070183971543274,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Wdp,0.0021166789563568,m3 water-Eq,2036,RECIPE,US,US Electricity Grid Mix,Low_NG_Price_95by2050_NoNascent,ReEDS
Acidification,0.019453176366112,moles of H+-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,PVB_95by2050_NoNascent,ReEDS
Ecotoxicity,0.0866052943996821,"kg 2,4-D-Eq",2036,TRACI2.1,US,US Electricity Grid Mix,PVB_95by2050_NoNascent,ReEDS
Eutrophication,1.7116129216893475e-05,kg N,2036,TRACI2.1,US,US Electricity Grid Mix,PVB_95by2050_NoNascent,ReEDS
Global Warming,0.1269548670980085,kg CO2-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,PVB_95by2050_NoNascent,ReEDS
Carcinogenics,0.0009850839924217,kg benzene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,PVB_95by2050_NoNascent,ReEDS
Ozone Depletion,6.550370228075466e-09,kg CFC-11-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,PVB_95by2050_NoNascent,ReEDS
Photochemical Oxidation,0.0001736139394379,kg NOx-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,PVB_95by2050_NoNascent,ReEDS
Non-Carcinogenics,1.7864477532028922,kg toluene-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,PVB_95by2050_NoNascent,ReEDS
"Respiratory Effects, Average",9.9398371347301e-05,kg PM2.5-Eq,2036,TRACI2.1,US,US Electricity Grid Mix,PVB_95by2050_NoNascent,ReEDS
Alop,0.0031570037032594,square meter-year,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050_NoNascent,ReEDS
Gwp100,0.1287974941804991,kg CO2-Eq,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050_NoNascent,ReEDS
Fdp,0.0507937272242476,kg oil-Eq,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050_NoNascent,ReEDS
Fetpinf,3.639844217146332e-05,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050_NoNascent,ReEDS
Fep,3.2669040704849663e-06,kg P-Eq,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050_NoNascent,ReEDS
Htpinf,0.0187076006641947,"kg 1,4-DCB-Eq",2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050_NoNascent,ReEDS
Irp_He,0.0414780487754604,kg U235-Eq,2036,RECIPE,US,US Electricity Grid Mix,PVB_95by2050_NoNascent,ReEDS
